Year,Distance,Engine_capacity(cm3),Price(euro),Age,km_year1,shabby,euro_r,Style_Cabriolet,Style_Combi,Style_Coupe,Style_Crossover,Style_Hatchback,Style_Microvan,Style_Minivan,Style_Pickup,Style_Roadster,Style_SUV,Style_Sedan,Style_Universal,Fuel_type_Diesel,Fuel_type_Electric,Fuel_type_Hybrid,Fuel_type_Metan/Propan,Fuel_type_Petrol,Fuel_type_Plug-in Hybrid,Transmission_Automatic,Transmission_Manual,km_year_q1,km_year_q2,km_year_q3,km_year_q4
2011,195000.0,1800.0,7750.0,11,17727.0,21450.0,6519.117647058823,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2014,135000.0,1500.0,8550.0,8,16875.0,10800.0,3621.176470588235,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
2012,110000.0,1500.0,6550.0,10,11000.0,11000.0,2825.4901960784314,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
2006,200000.0,1600.0,4100.0,16,12500.0,32000.0,5145.098039215686,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
2000,300000.0,2200.0,3490.0,22,13636.0,66000.0,9032.941176470587,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2010,290000.0,1390.0,5600.0,12,24167.0,34800.0,7642.35294117647,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2010,220000.0,2400.0,17000.0,12,18333.0,26400.0,17600.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1991,240000.0,2300.0,2850.0,31,7742.0,74400.0,8315.29411764706,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
2004,325000.0,300.0,3400.0,18,18056.0,58500.0,7800.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
2010,210000.0,2200.0,11400.0,12,17500.0,25200.0,11265.882352941177,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
2006,300000.0,3200.0,11800.0,16,18750.0,48000.0,22211.764705882353,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1998,285000.0,3500.0,3990.0,24,11875.0,68400.0,10702.588235294117,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
